id,title,company,location,salary,type,experience,education,skills,description
1,Frontend Engineer,Stripe,San Francisco CA,$120k - $170k,Full-time,1-3 years,Bachelor,react javascript typescript html css tailwind accessibility responsive design vite frontend,Build accessible payment interfaces using React TypeScript and modern frontend tooling
2,Senior Frontend Engineer,Airbnb,Remote,$150k - $210k,Remote,3-5 years,Bachelor,react typescript next.js graphql design systems performance testing frontend,Lead frontend architecture for travel marketplace experiences with strong performance goals
3,Full Stack Developer,Linear,Remote,$115k - $165k,Remote,1-3 years,Bachelor,react typescript node.js express postgresql graphql api full stack,Develop product workflows across React clients and Node APIs
4,Backend Engineer,Spotify,Stockholm Sweden,$110k - $160k,Full-time,3-5 years,Bachelor,java spring boot kafka postgresql redis microservices docker kubernetes backend,Build scalable music platform services and distributed APIs
5,Python Backend Developer,Dropbox,Remote,$105k - $150k,Remote,1-3 years,Bachelor,python django flask fastapi postgresql redis celery docker api testing,Create reliable backend systems for file sync and collaboration products
6,Machine Learning Engineer,OpenAI,San Francisco CA,$170k - $240k,Full-time,3-5 years,Master,python pytorch tensorflow machine learning deep learning nlp transformers mlops,Train evaluate and deploy production machine learning systems
7,Data Scientist,Meta,New York NY,$130k - $185k,Full-time,1-3 years,Master,python sql pandas numpy scikit-learn statistics machine learning visualization experimentation,Analyze product data and build models that guide product decisions
8,Data Analyst,Salesforce,Hyderabad India,$35k - $65k,Full-time,Fresher,Bachelor,sql excel python tableau power bi statistics dashboards reporting data analysis,Create dashboards and business insights for customer success teams
9,Junior Python Developer,Infosys,Bangalore India,$15k - $30k,Full-time,Fresher,Bachelor,python basics django flask sql html css git api web development,Start a software career building Python web applications with mentoring
10,DevOps Engineer,Vercel,Austin TX,$125k - $175k,Full-time,3-5 years,Bachelor,docker kubernetes aws terraform ci cd github actions linux monitoring devops,Scale cloud infrastructure and deployment automation for frontend platforms
11,Cloud Architect,AWS,Seattle WA,$160k - $220k,Full-time,5+ years,Bachelor,aws azure gcp cloud architecture serverless terraform networking security migration,Design enterprise cloud architecture and modernization strategies
12,Site Reliability Engineer,Netflix,Los Gatos CA,$150k - $205k,Full-time,3-5 years,Bachelor,linux kubernetes docker prometheus grafana python go reliability sre automation,Build resilient systems and automate operational workflows at scale
13,Android Developer,Google,Mountain View CA,$135k - $190k,Full-time,3-5 years,Bachelor,kotlin java android jetpack compose firebase material design mobile development,Build Android applications and platform experiences for millions
14,iOS Developer,Apple,Cupertino CA,$140k - $195k,Full-time,3-5 years,Bachelor,swift swiftui objective-c xcode ios uikit core data mobile development,Create high quality iOS features with native Apple frameworks
15,React Native Developer,Shopify,Remote,$110k - $155k,Remote,1-3 years,Bachelor,react native javascript typescript mobile development expo redux ios android,Build cross platform commerce apps for merchants
16,QA Automation Engineer,Atlassian,Sydney Australia,$85k - $130k,Full-time,1-3 years,Bachelor,selenium cypress playwright jest python javascript api testing automation qa,Create automated test suites for collaborative software products
17,Cybersecurity Analyst,CrowdStrike,Remote,$95k - $145k,Remote,1-3 years,Bachelor,cybersecurity siem networking firewalls incident response vulnerability assessment compliance,Monitor threats and support incident response for security customers
18,Security Engineer,Palo Alto Networks,Santa Clara CA,$130k - $180k,Full-time,3-5 years,Bachelor,python network security cloud security penetration testing iam zero trust firewall,Build security tooling and protect enterprise cloud environments
19,Blockchain Developer,Coinbase,Remote,$135k - $190k,Remote,3-5 years,Bachelor,solidity ethereum blockchain smart contracts web3 hardhat rust go defi,Build decentralized finance products and smart contract integrations
20,Data Engineer,Snowflake,San Mateo CA,$130k - $180k,Full-time,3-5 years,Bachelor,python sql spark airflow etl kafka dbt snowflake data warehouse big data,Create data pipelines and warehouse models for analytics workloads
21,MLOps Engineer,Databricks,Remote,$140k - $190k,Remote,3-5 years,Bachelor,python mlops docker kubernetes mlflow kubeflow aws sagemaker model deployment,Deploy monitor and improve machine learning systems in production
22,NLP Engineer,Anthropic,San Francisco CA,$155k - $215k,Full-time,3-5 years,Master,python nlp transformers pytorch hugging face text classification deep learning language models,Build natural language systems and model evaluation workflows
23,Computer Vision Engineer,Tesla,Palo Alto CA,$145k - $205k,Full-time,3-5 years,Master,python opencv pytorch computer vision image processing cnn object detection cuda,Develop perception models for autonomous systems and visual intelligence
24,AI Research Scientist,DeepMind,London UK,$180k - $260k,Full-time,5+ years,PhD,python pytorch tensorflow reinforcement learning deep learning research statistics mathematics,Research new AI algorithms and publish high impact work
25,Product Designer,Figma,Remote,$105k - $155k,Remote,1-3 years,Bachelor,figma ui ux design prototyping wireframing user research design systems interaction design,Design collaborative product experiences and prototypes
26,UX Researcher,Airbnb,San Francisco CA,$100k - $145k,Full-time,1-3 years,Bachelor,user research usability testing surveys interviews personas journey mapping analytics ux,Run research studies that improve travel product experiences
27,Technical Writer,Twilio,Remote,$80k - $115k,Remote,1-3 years,Bachelor,technical writing documentation api documentation markdown git tutorials editing communication,Create developer documentation and learning content for APIs
28,Platform Engineer,Datadog,New York NY,$135k - $185k,Full-time,3-5 years,Bachelor,kubernetes docker terraform aws golang python ci cd observability platform engineering,Build internal platforms that help engineering teams ship reliably
29,Go Backend Developer,Uber,Remote,$130k - $180k,Remote,3-5 years,Bachelor,go golang grpc microservices postgresql redis kafka docker distributed systems backend,Build high throughput backend services for mobility products
30,Rust Systems Engineer,Cloudflare,Austin TX,$145k - $195k,Full-time,3-5 years,Bachelor,rust systems programming linux networking performance optimization concurrency distributed systems,Build low latency edge computing systems in Rust
31,Embedded Systems Engineer,NVIDIA,Santa Clara CA,$130k - $180k,Full-time,3-5 years,Bachelor,c c++ embedded systems rtos firmware arm fpga linux drivers iot,Develop embedded software for hardware and AI acceleration systems
32,Game Developer,Epic Games,Cary NC,$115k - $170k,Full-time,3-5 years,Bachelor,c++ unreal engine game development graphics physics simulation shaders optimization,Create gameplay systems and real time graphics experiences
33,Vue Developer,GitLab,Remote,$100k - $145k,Remote,1-3 years,Bachelor,vue.js javascript typescript pinia nuxt.js html css frontend component design,Build DevSecOps frontend features with Vue and TypeScript
34,Ruby on Rails Developer,GitHub,Remote,$115k - $165k,Remote,3-5 years,Bachelor,ruby rails postgresql redis sidekiq javascript api backend testing rspec,Develop collaboration features for a large code hosting platform
35,Digital Marketing Analyst,HubSpot,Boston MA,$70k - $105k,Full-time,1-3 years,Bachelor,seo google analytics sql excel dashboards marketing analytics attribution reporting,Analyze campaign performance and improve marketing funnel decisions
36,Business Analyst,Deloitte,Chicago IL,$75k - $115k,Full-time,1-3 years,Bachelor,excel sql requirements gathering process mapping stakeholder management tableau reporting,Translate business needs into clear product and process requirements
37,Product Manager,Microsoft,Redmond WA,$125k - $180k,Full-time,3-5 years,Bachelor,product management roadmap agile analytics user research stakeholder communication strategy,Own product strategy and delivery for cloud software features
38,Scrum Master,IBM,Remote,$85k - $125k,Remote,1-3 years,Bachelor,agile scrum jira facilitation coaching sprint planning retrospectives stakeholder management,Help engineering teams improve delivery process and collaboration
39,Database Administrator,Oracle,Austin TX,$105k - $150k,Full-time,3-5 years,Bachelor,sql oracle postgresql mysql database administration backups performance tuning security,Maintain secure and performant database systems
40,BI Developer,Tableau,Seattle WA,$100k - $145k,Full-time,1-3 years,Bachelor,sql tableau power bi data modeling dashboards etl analytics visualization,Build business intelligence dashboards and semantic data models
41,Generative AI Engineer,Adobe,San Jose CA,$150k - $215k,Full-time,3-5 years,Master,python llm generative ai transformers langchain vector database prompt engineering mlops,Create generative AI features using language models and retrieval systems
42,Prompt Engineer,OpenAI,Remote,$120k - $170k,Remote,1-3 years,Bachelor,prompt engineering llm python evaluation writing nlp conversation design testing,Design evaluate and improve prompts for AI assistant workflows
43,AI Product Engineer,Notion,Remote,$130k - $185k,Remote,3-5 years,Bachelor,typescript react python llm api product engineering prompt engineering full stack,Build AI powered product features from prototype to production
44,Search Engineer,Elastic,Remote,$120k - $170k,Remote,3-5 years,Bachelor,elasticsearch lucene java python search relevance ranking nlp distributed systems,Improve search relevance and ranking for large document systems
45,Recommendation Systems Engineer,Netflix,Los Gatos CA,$160k - $220k,Full-time,3-5 years,Master,python machine learning recommender systems ranking spark sql experimentation,Build personalized recommendation models and ranking pipelines
46,Quantitative Analyst,Goldman Sachs,New York NY,$140k - $210k,Full-time,3-5 years,Master,python r statistics mathematics time series sql financial modeling machine learning,Build statistical models for trading and risk analysis
47,Financial Data Analyst,JPMorgan Chase,New York NY,$85k - $130k,Full-time,1-3 years,Bachelor,sql python excel power bi financial analysis reporting statistics dashboards,Analyze financial data and create reporting for business units
48,Healthcare Data Scientist,UnitedHealth,Remote,$115k - $160k,Remote,3-5 years,Master,python sql machine learning statistics healthcare analytics pandas modeling visualization,Use healthcare data to improve outcomes and operational decisions
